id,name,Shows,country,bio,Networks,Broadcasters,website
P1,Eleanor McDowall,"S1,S2,S3",UK,,N1,,
P2,Ross Sutherland,"S1,S4",UK,,,,
P3,Francesca Panetta,S5,UK,,,,
P4,David Waters,S6,UK,,,,
P5,Tim Hinman,"S8,S9",DK,,,,
P6,Krister Moltzen,S8,DK,,,,
P7,Rikke Houd,"S8,S1",DK,,,,
P8,Jaye Kranz,"S3,S6",AUS,,,,
P9,Andrea Rangecroft,"S1,S9,S11",UK,,,,
P10 ,Alan Hall,"S3,S6,S7",UK,,N1,,
P11,Julia Barton,S3,US,,,,
P12,Hannah Dean,S3,UK,,,,
P13,Dennis Funk,"S1,S7,S15",US,,,,
P14,Thomas Arent,"S8,S7",DK,,,,
P15,Jeff Emtman,"S10,S9,S1,S15",US,,,,
P16,Bethany Denton,S10,US,,,,
P17,Phil Smith,S1,UK,,,,
P18,Martin Johnson,"S1,S21",SE,,,,
P19,Nina Garthwaite,S11,UK,,,,
P20,Mair Bosworth,S11,UK,,,,
P21,Cathy Fitzgerald,"S1,S6",UK,,N1,,https://cathyfitzgerald.co.uk/
P22,Nina Perry,"S6,12",UK,,,,
P23,Pejk Malinovski,"S6,S7",DE,,,,https://www.thirdcoastfestival.org/explore/person/pejk-malinovski
P24,La Cosa Preziosa,"S14,S15",IE,,,B2,
P25,Katharina Smets,"S2,S11",BE,,N3,,
P26,Edwin Brys,,,,N2,,
P27,Jess Shane,"S15,S1",CA,,,,
P28,Ole Fugl,,,,N3,,
P29,Janet Rogers,S15,CA,,,,
P30,Leanne Simpson,,CA,,N4,,https://www.leannesimpson.ca/
P31,Ginger Dunhill,S16,US,,,,
P32,Ryan McMahon,,CA,,N4,,
P33,Chantal Dumas,S12,CA,,,,
P34,David Jaeger,S17,CA,,,,
P35,Hildegard Westerkamp,"S17,S12",CA,,N7,,
P36,Andra McCartney,S18,CA,,N5,,https://www.concordia.ca/artsci/coms/faculty.html?fpid=andra-mccartney
P37,Sarah Boothroyd,"S1,S18,S7",CA,,"N5,N8",,
P38,Ayesha Barmania,S15,CA,,N6,B3,https://www.ayeshabarmania.com/
P39,Darren Copeland,,CA,,"N5,N8",,http://www.darrencopeland.net/web2/?page_id=42
P40,R Murray Shafer,S19,CA,,N7,,
P41,Gregory Whitehead,"S12,S13",US,,N8,,
P42,Paolo Pietropaolo,"S20,S7,S22",CA,,,,http://www.batteryradio.com/Pages/bio.html
P43,Chris Brookes,"S20,S21",CA,,"N9,N10",,
P44,Ann Heppermann,S21,US,,N11,,https://twitter.com/annheppermann
P45,Neil Sandell,"S13,S18,S19,S7",CA,,,,https://twitter.com/Neil_Sandell
P46,Steve Wadhams,"S19,S20",CA,,,,
P47,Glenn Gould,S19,CA,,,,http://glenngould.com/
P48,Lindsay Michael,S22,,,,,
P49,Christof Migone,S12,CA,,,,
P50,Sook-Yin Lee,S23,CA,,,,
P51,Veronica Simmonds,"S23,S1,S15,S12,S26,S34",CA,,,,
P52,Jonathan Goldstein,S24,"CA,US",,,,
P53,Cristal Duhaime,"S24,S7",CA,,,,
P54,Mira Burt-Wintonick,"S24,S7",CA,,,,
P55,Aliya Pabani,"S25,S15",CA,,,,
P56,Allie Graham,S25,CA,,,,
P57,Angela Shackel,"S25,S15",CA,,,,
P58,Phoebe Wang,"S15,S1,S7,S26",US,,,,
P59,Mitchell Akiyama,S25,CA,,,,http://www.mitchellakiyama.com/
P60,John Cage,,US,,,,
P61,Chris Mann,S12,AU,,,,http://theuse.info/
P62,Mike Williams,S28,AU,,,,
P63,Jesse Cox,"S28,S13",AU,,N13,,
P64,Miyuki Jokiranta,"S12,S15",AU,,N13,,
P65,Sophea Lerner,S12,AU,,,,
P66,Rosa Gollan,"S12,S7",AU,,,,
P67,Julie Shapiro,"S12,S13,S15",US,,"N13,N14",,
P68,John Jacobs,"S27,S29,S15,S32",AU,,N15,,
P69,Jon Tjhia,"S15,S12,S31",AU,,N15,,
P70,Sherre DeLys,"S29,S7,S12,S32",AU,,,,
P71,Chris Abrahams,S12,AU,,,,
P72,Robyn Ravlich,S33,AU,,,,
P74,Gretchen Miller,S33,AU,,,,
P75,Kaye Mortley,"S33,S27,S29","AU,FR",,,,
P76,Richard Connolly,,AU,,,B4,
P77,Julia Pagel,S24,CA,,,,
P78,Acey Rowe,S24,CA,,,,
P79,Jennifer Warren,S24,CA,,,,
P80,Jane Ulman,S29,AU,,,,
P81,Lea Redfern,S29,AU,,,,
P82,Russell Stapleton,"S29,S12,S13",AU,,,,
P83,Sharon Davis,S29,AU,,,,
P84,Roz Chaney,S29,AU,,,,
P85,Tony McGregor,S29,AU,,,,
P86,Kyla Brettle,S12,AU,,,,
P87,Amy Hanley,S12,AU,,,,
